ha	UH	ha
day	NN	day
?	SENT	?
yeah	UH	yeah
.	SENT	.
I	PP	i
can	MD	can
n't	RB	not
my	PP$	my
.	SENT	.
uhuh	NN	uhuh
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
do	VV	do
it	PP	it
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
do	VV	do
it	PP	it
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
hold	VV	hold
it	PP	it
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
do	VV	do
it	PP	it
.	SENT	.
it	PP	it
sticky	JJ	sticky
.	SENT	.
it	PP	it
sticky	JJ	sticky
.	SENT	.
it	PP	it
sticky	JJ	sticky
.	SENT	.
uh	UH	uh
some	DT	some
more	JJR	more
.	SENT	.
sticky	JJ	sticky
.	SENT	.
sticky	JJ	sticky
.	SENT	.
took	VVD	take
a	DT	a
nap	NN	nap
.	SENT	.
yup	NN	yup
.	SENT	.
I	PP	i
played	VVD	play
.	SENT	.
Scott	NP	scott
.	SENT	.
Todd	NP	todd
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
I	PP	i
falled	VVD	<unknown>
down	RB	down
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
hurt	VVN	hurt
.	SENT	.
me	PP	me
hurt	VVD	hurt
my	PP$	my
bottom	NN	bottom
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
yup	NN	yup
.	SENT	.
buy	VV	buy
at	IN	at
the	DT	the
store	NN	store
.	SENT	.
I	PP	i
had	VHD	have
gum	NN	gum
.	SENT	.
yup	NN	yup
.	SENT	.
I	PP	i
stand	VVP	stand
up	IN	up
.	SENT	.
yup	NN	yup
.	SENT	.
some	DT	some
more	JJR	more
stand	NN	stand
up	IN	up
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
sticky	JJ	sticky
.	SENT	.
I	PP	i
eat	VVP	eat
a	DT	a
piece	NN	piece
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
that	IN	that
.	SENT	.
boom	NN	boom
.	SENT	.
I	PP	i
'm	VBP	be
banging	VVG	bang
.	SENT	.
the	DT	the
popsicle	NN	popsicle
.	SENT	.
I	PP	i
'm	VBP	be
rubbing	VVG	rub
it	PP	it
.	SENT	.
on	IN	on
the	DT	the
placemat	NN	placemat
.	SENT	.
placemat	NN	placemat
.	SENT	.
I	PP	i
'm	VBP	be
rub	NN	rub
on	IN	on
my	PP$	my
hands	NNS	hand
.	SENT	.
there	RB	there
.	SENT	.
on	IN	on
my	PP$	my
fingers	NNS	finger
.	SENT	.
bib	NN	bib
?	SENT	?
look	VV	look
it	PP	it
.	SENT	.
just	RB	just
sit	VV	sit
down	RB	down
.	SENT	.
baloney	NN	baloney
.	SENT	.
milk	NN	milk
.	SENT	.
mild	JJ	mild
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
butter	NN	butter
.	SENT	.
I	PP	i
had	VHD	have
orange	JJ	orange
juice	NN	juice
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
who	WP	who
's	VVZ	's
Margie	NP	margie
?	SENT	?
Todd	NP	todd
's	POS	's
Mommy	NP	mommy
?	SENT	?
yup	NN	yup
.	SENT	.
no	DT	no
.	SENT	.
yup	NN	yup
.	SENT	.
yup	NN	yup
.	SENT	.
what	WP	what
did	VVD	do
Todd	NP	todd
eat	VV	eat
?	SENT	?
bread	NN	bread
.	SENT	.
bread	NN	bread
.	SENT	.
he	PP	he
eat	VVP	eat
.	SENT	.
why	WRB	why
?	SENT	?
I	PP	i
drop	VVP	drop
it	PP	it
.	SENT	.
yup	NN	yup
.	SENT	.
I	PP	i
eat	VVP	eat
baby	NN	baby
food	NN	food
,	,	,
too	RB	too
.	SENT	.
yup	NN	yup
.	SENT	.
no	DT	no
.	SENT	.
can	MD	can
eat	VV	eat
that	IN	that
?	SENT	?
I	PP	i
can	MD	can
pick	VV	pick
it	PP	it
up	VV	up
.	SENT	.
little	JJ	little
piece	NN	piece
.	SENT	.
little	JJ	little
piece	NN	piece
.	SENT	.
little	JJ	little
piece	NN	piece
.	SENT	.
I	PP	i
play	VVP	play
with	IN	with
Todd	NP	todd
's	POS	's
toys	NNS	toy
.	SENT	.
yup	NN	yup
.	SENT	.
uhs	NNS	<unknown>
red	JJ	red
.	SENT	.
yup	NN	yup
.	SENT	.
and	CC	and
yellow	JJ	yellow
.	SENT	.
yup	NN	yup
.	SENT	.
I	PP	i
play	VVP	play
with	IN	with
the	DT	the
car	NN	car
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
I	PP	i
wanna	VVP	wanna
.	SENT	.
I	PP	i
wanna	VVP	wanna
.	SENT	.
I	PP	i
want	VVP	want
the	DT	the
people	NNS	person
.	SENT	.
I	PP	i
want	VVP	want
the	DT	the
toys	NNS	toy
.	SENT	.
yeah	UH	yeah
.	SENT	.
Todd	NP	todd
?	SENT	?
have	VHP	have
to	TO	to
see	VV	see
Todd	NP	todd
again	RB	again
?	SENT	?
Todd	NP	todd
again	RB	again
.	SENT	.
and	CC	and
Mom	NN	mom
again	RB	again
?	SENT	?
Mom	NN	mom
again	RB	again
?	SENT	?
Todd	NP	todd
's	POS	's
Mom	NN	mom
.	SENT	.
oh	UH	oh
no	DT	no
.	SENT	.
he	PP	he
doing	VVG	do
?	SENT	?
uhs	NNS	<unknown>
he	PP	he
doing	VVG	do
?	SENT	?
recording	NN	record
.	SENT	.
that	IN	that
.	SENT	.
Grapenut	NP	grapenut
.	SENT	.
I	PP	i
do	VVP	do
it	PP	it
.	SENT	.
I	PP	i
wanna	VVP	wanna
pop	NN	pop
it	PP	it
.	SENT	.
I	PP	i
wanna	VVP	wanna
do	VVP	do
it	PP	it
by	IN	by
myself	PP	myself
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
pop	VV	pop
it	PP	it
.	SENT	.
all	DT	all
my	PP$	my
cereal	NN	cereal
on	IN	on
it	PP	it
.	SENT	.
there	RB	there
.	SENT	.
the	DT	the
milk	NN	milk
.	SENT	.
uh	UH	uh
uh	UH	uh
uh	UH	uh
.	SENT	.
uh	UH	uh
Nomi	NP	nomi
want	VVP	want
.	SENT	.
uh	UH	uh
pour	VV	pour
some	DT	some
sugar	NN	sugar
in	IN	in
.	SENT	.
uh	UH	uh
pour	VV	pour
some	DT	some
sugar	NN	sugar
in	IN	in
.	SENT	.
I	PP	i
need	VVP	need
some	DT	some
.	SENT	.
put	NN	put
sugar	NN	sugar
on	IN	on
yours	PP	yours
.	SENT	.
uh	UH	uh
put	VV	put
the	DT	the
sugar	NN	sugar
on	IN	on
.	SENT	.
yeah	UH	yeah
.	SENT	.
close	VV	close
that	IN	that
.	SENT	.
Mommy	NP	mommy
sugar	NN	sugar
.	SENT	.
it	PP	it
's	VVZ	's
my	PP$	my
sleeper	NN	sleeper
.	SENT	.
it	PP	it
's	VVZ	's
on	IN	on
my	PP$	my
sleeper	NN	sleeper
.	SENT	.
one	CD	one
.	SENT	.
pour	VV	pour
sugar	NN	sugar
on	IN	on
it	PP	it
.	SENT	.
put	VV	put
sugar	NN	sugar
.	SENT	.
where	WRB	where
's	POS	's
more	JJR	more
?	SENT	?
yeah	UH	yeah
.	SENT	.
want	VVP	want
pour	VV	pour
it	PP	it
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
wanna	VV	wanna
pour	VV	pour
the	DT	the
juice	NN	juice
.	SENT	.
I	PP	i
wanna	VVP	wanna
I	PP	i
wanna	VVP	wanna
pour	VV	pour
the	DT	the
coffee	NN	coffee
.	SENT	.
I	PP	i
want	VVP	want
that	IN	that
.	SENT	.
Mommy	NP	mommy
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
all	DT	all
that	NN	that
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
that	IN	that
.	SENT	.
what	WP	what
's	VVZ	's
Nomi	NP	nomi
do	VVP	do
?	SENT	?
yeah	UH	yeah
.	SENT	.
uhhuh	NN	uhhuh
.	SENT	.
put	VV	put
it	PP	it
there	RB	there
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
is	VBZ	be
it	PP	it
Daddy	NP	daddy
's	POS	's
?	SENT	?
that	DT	that
's	VVZ	's
Daddy	NP	daddy
's	POS	's
?	SENT	?
that	DT	that
's	VVZ	's
Daddy	NP	daddy
's	POS	's
?	SENT	?
turn	NN	turn
it	PP	it
.	SENT	.
turn	VV	turn
it	PP	it
.	SENT	.
what	WP	what
's	VVZ	's
going	VVG	go
to	TO	to
do	VV	do
to	TO	to
me	PP	me
?	SENT	?
what	WP	what
's	VVZ	's
going	VVG	go
to	TO	to
do	VV	do
to	TO	to
me	PP	me
?	SENT	?
what	WP	what
do	VVP	do
you	PP	you
think	VV	think
?	SENT	?
what	WP	what
do	VVP	do
you	PP	you
think	VV	think
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
that	IN	that
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
that	IN	that
a	DT	a
pin	NN	pin
?	SENT	?
what	WP	what
's	VVZ	's
Nomi	NP	nomi
doing	VVG	do
?	SENT	?
stuck	VVN	stick
them	PP	them
in	IN	in
.	SENT	.
when	WRB	when
he	PP	he
get	VVP	get
.	SENT	.
when	WRB	when
he	PP	he
get	VVP	get
home	NN	home
?	SENT	?
he	PP	he
going	VVG	go
drink	NN	drink
coffee	NN	coffee
.	SENT	.
yeah	UH	yeah
.	SENT	.
going	VVG	go
boo	VV	boo
to	TO	to
me	PP	me
.	SENT	.
vitamins	NNS	vitamin
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
yeah	UH	yeah
.	SENT	.
what	WP	what
else	RB	else
?	SENT	?
yeah	UH	yeah
.	SENT	.
I	PP	i
drop	VVP	drop
it	PP	it
.	SENT	.
I	PP	i
drop	VVP	drop
it	PP	it
.	SENT	.
I	PP	i
drop	VVP	drop
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
are	VBP	be
you	PP	you
doing	VVG	do
with	IN	with
it	PP	it
?	SENT	?
I	PP	i
'm	VBP	be
cleaning	VVG	clean
the	DT	the
table	NN	table
.	SENT	.
I	PP	i
'm	VBP	be
cleaning	VVG	clean
the	DT	the
table	NN	table
.	SENT	.
yep	NN	yep
.	SENT	.
yep	NN	yep
.	SENT	.
with	IN	with
my	PP$	my
fingers	NNS	finger
.	SENT	.
yep	NN	yep
.	SENT	.
I	PP	i
do	VVP	do
n't	RB	not
like	IN	like
sugar	NN	sugar
.	SENT	.
see	VV	see
cordy	JJ	cordy
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
to	TO	to
bring	VV	bring
a	DT	a
fork	NN	fork
.	SENT	.
where	WRB	where
's	VVZ	's
the	DT	the
knife	NN	knife
?	SENT	?
no	DT	no
.	SENT	.
where	WRB	where
are	VBP	be
we	PP	we
going	VVG	go
today	NN	today
?	SENT	?
where	WRB	where
are	VBP	be
we	PP	we
going	VVG	go
today	NN	today
?	SENT	?
Julia	NP	julia
.	SENT	.
what	WP	what
are	VBP	be
we	PP	we
going	VVG	go
to	TO	to
do	VV	do
at	IN	at
Julia	NP	julia
's	POS	's
house	NN	house
?	SENT	?
I	PP	i
want	VVP	want
breakfast	NN	breakfast
.	SENT	.
no	DT	no
.	SENT	.
what	WP	what
are	VBP	be
we	PP	we
going	VVG	go
to	TO	to
do	VV	do
at	IN	at
Julia	NP	julia
house	NN	house
?	SENT	?
what	WP	what
are	VBP	be
we	PP	we
going	VVG	go
to	TO	to
do	VV	do
at	IN	at
Julia	NP	julia
house	NN	house
?	SENT	?
do	VVP	do
n't	RB	not
eat	VV	eat
the	DT	the
butter	NN	butter
.	SENT	.
yep	NN	yep
.	SENT	.
do	VVP	do
you	PP	you
want	VV	want
some	DT	some
bread	NN	bread
?	SENT	?
do	VVP	do
you	PP	you
want	VV	want
some	DT	some
bread	NN	bread
?	SENT	?
do	VVP	do
you	PP	you
want	VV	want
some	DT	some
bread	NN	bread
?	SENT	?
do	VVP	do
you	PP	you
want	VV	want
some	DT	some
bread	NN	bread
?	SENT	?
here	RB	here
bread	NN	bread
.	SENT	.
here	RB	here
bread	NN	bread
.	SENT	.
here	RB	here
bread	NN	bread
.	SENT	.
here	RB	here
bread	NN	bread
.	SENT	.
ow	VV	ow
.	SENT	.
oh	UH	oh
.	SENT	.
I	PP	i
can	MD	can
n't	RB	not
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
put	VV	put
the	DT	the
sandals	NNS	sandal
on	IN	on
.	SENT	.
I	PP	i
want	VVP	want
to	TO	to
put	VV	put
the	DT	the
sandals	NNS	sandal
on	IN	on
.	SENT	.
I	PP	i
'm	VBP	be
throwing	VVG	throw
it	PP	it
up	VV	up
.	SENT	.
is	VBZ	be
Kristen	NP	kristen
crying	VVG	cry
?	SENT	?
a	DT	a
crybaby	NN	crybaby
.	SENT	.
she	PP	she
's	VVZ	's
not	RB	not
crying	VVG	cry
.	SENT	.
she	PP	she
's	VVZ	's
not	RB	not
crying	VVG	cry
.	SENT	.
yep	NN	yep
.	SENT	.
Kristen	NP	kristen
's	POS	's
tired	VVN	tire
.	SENT	.
yes	UH	yes
.	SENT	.
not	RB	not
tired	VVN	tire
.	SENT	.
got	VVD	get
itch	VV	itch
.	SENT	.
got	VVD	get
an	DT	a
itch	NN	itch
.	SENT	.
yep	NN	yep
.	SENT	.
Kitty	NP	kitty
got	VVD	get
an	DT	a
itch	NN	itch
.	SENT	.
yep	NN	yep
.	SENT	.
got	VVD	get
an	DT	a
itch	NN	itch
.	SENT	.
scratch	NN	scratch
me	PP	me
.	SENT	.
do	VVP	do
n't	RB	not
cry	VV	cry
.	SENT	.
Kristen	NP	kristen
.	SENT	.
do	VVP	do
n't	RB	not
cry	VV	cry
.	SENT	.
do	VV	do
n't	RB	not
cry	VV	cry
Kimberly	RB	kimberly
.	SENT	.
yep	NN	yep
.	SENT	.
baby	NN	baby
.	SENT	.
you	PP	you
are	VBP	be
tired	VVN	tire
?	SENT	?
you	PP	you
are	VBP	be
crying	VVG	cry
?	SENT	?
I	PP	i
spank	VVP	spank
you	PP	you
.	SENT	.
I	PP	i
spank	VVP	spank
you	PP	you
.	SENT	.
I	PP	i
push	VVP	push
you	PP	you
.	SENT	.
you	PP	you
mad	JJ	mad
.	SENT	.
you	PP	you
cry	VVP	cry
.	SENT	.
cry	NN	cry
.	SENT	.
why	WRB	why
?	SENT	?
ran	VVD	run
away	RB	away
.	SENT	.
why	WRB	why
?	SENT	?
why	WRB	why
?	SENT	?
it	PP	it
's	VVZ	's
not	RB	not
dirty	JJ	dirty
?	SENT	?
sugar	NN	sugar
on	IN	on
it	PP	it
.	SENT	.
I	PP	i
ate	VVD	eat
it	PP	it
all	DT	all
gone	VVN	go
.	SENT	.
I	PP	i
ate	VVD	eat
it	PP	it
all	DT	all
gone	VVN	go
.	SENT	.
poor	JJ	poor
baby	NN	baby
.	SENT	.
poor	JJ	poor
baby	NN	baby
.	SENT	.
poor	JJ	poor
baby	NN	baby
.	SENT	.
look	VV	look
at	IN	at
me	PP	me
.	SENT	.
poor	JJ	poor
baby	NN	baby
.	SENT	.
tired	VVN	tire
baby	NN	baby
.	SENT	.
I	PP	i
want	VVP	want
some	DT	some
more	JJR	more
.	SENT	.
want	VVP	want
some	DT	some
more	JJR	more
cereal	NN	cereal
.	SENT	.
want	VVP	want
some	DT	some
more	JJR	more
cereal	NN	cereal
.	SENT	.
chocolate	NN	chocolate
.	SENT	.
I	PP	i
want	VVP	want
chocolate	NN	chocolate
.	SENT	.
with	IN	with
the	DT	the
bee	NN	bee
on	IN	on
it	PP	it
.	SENT	.
two	CD	two
three	CD	three
four	CD	four
five	CD	five
six	CD	six
.	SENT	.
seven	CD	seven
eight	CD	eight
nine	CD	nine
.	SENT	.
seven	CD	seven
eight	CD	eight
nine	CD	nine
eight	CD	eight
ten	CD	ten
twelve	CD	twelve
ten	CD	ten
eight	CD	eight
nine	CD	nine
ten	CD	ten
.	SENT	.
eight	CD	eight
nine	CD	nine
ten	CD	ten
.	SENT	.
eight	CD	eight
nine	CD	nine
ten	CD	ten
.	SENT	.
let	VV	let
's	POS	's
do	VV	do
yours	PP	yours
.	SENT	.
ten	CD	ten
four	CD	four
six	CD	six
seven	CD	seven
eight	CD	eight
nine	CD	nine
.	SENT	.
eight	CD	eight
nine	CD	nine
ten	CD	ten
.	SENT	.
I	PP	i
'm	VBP	be
putting	VVG	putt
this	DT	this
back	RB	back
here	RB	here
.	SENT	.
I	PP	i
'm	VBP	be
putting	VVG	putt
this	DT	this
back	RB	back
here	RB	here
.	SENT	.
five	CD	five
seven	CD	seven
eight	CD	eight
seven	CD	seven
.	SENT	.
I	PP	i
count	VVP	count
.	SENT	.
I	PP	i
'm	VBP	be
going	VVG	go
read	VV	read
this	DT	this
catalogue	NN	catalogue
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
doing	VVG	do
?	SENT	?
do	VVP	do
n't	RB	not
record	VV	record
it	PP	it
.	SENT	.
yeah	UH	yeah
.	SENT	.
oh	UH	oh
.	SENT	.
maybe	RB	maybe
find	VV	find
the	DT	the
babies	NNS	baby
.	SENT	.
maybe	RB	maybe
find	VV	find
the	DT	the
babies	NNS	baby
.	SENT	.
toilet	NN	toilet
dripping	VVG	drip
.	SENT	.
toilet	NN	toilet
dripping	VVG	drip
.	SENT	.
I	PP	i
find	VVP	find
the	DT	the
swing	NN	swing
is	NNS	be
.	SENT	.
I	PP	i
find	VVP	find
the	DT	the
swing	NN	swing
is	NNS	be
.	SENT	.
Mary	NP	mary
had	VHD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
.	SENT	.
fleece	NN	fleece
was	VBD	be
white	JJ	white
as	IN	as
snow	NN	snow
.	SENT	.
I	PP	i
finded	VVD	<unknown>
where	WRB	where
the	DT	the
swing	NN	swing
is	NNS	be
.	SENT	.
I	PP	i
finded	VVD	<unknown>
where	WRB	where
the	DT	the
swing	NN	swing
is	NNS	be
.	SENT	.
I	PP	i
finded	VVD	<unknown>
where	WRB	where
the	DT	the
swing	NN	swing
is	NNS	be
.	SENT	.
little	JJ	little
cares	NNS	care
.	SENT	.
little	JJ	little
cares	NNS	care
.	SENT	.
little	JJ	little
baby	NN	baby
cares	NNS	care
.	SENT	.
look	VV	look
at	IN	at
baby	NN	baby
cares	NNS	care
.	SENT	.
look	VV	look
at	IN	at
baby	NN	baby
carry	NN	carry
a	DT	a
little	JJ	little
box	NN	box
.	SENT	.
a	DT	a
little	JJ	little
box	NN	box
.	SENT	.
I	PP	i
'm	VBP	be
turning	VVG	turn
it	PP	it
.	SENT	.
I	PP	i
do	VVP	do
n't	RB	not
like	IN	like
my	PP$	my
Cornflakes	NP	cornflakes
.	SENT	.
I	PP	i
do	VVP	do
n't	RB	not
like	IN	like
my	PP$	my
Cornflakes	NP	cornflakes
.	SENT	.
my	PP$	my
Cornflakes	NP	cornflakes
.	SENT	.
my	PP$	my
Cornflakes	NP	cornflakes
.	SENT	.
my	PP$	my
do	VVP	do
n't	RB	not
.	SENT	.
my	PP$	my
bumped	VVD	bump
it	PP	it
.	SENT	.
who	WP	who
's	VVZ	's
that	IN	that
?	SENT	?
I	PP	i
got	VVD	get
lollipop	NN	lollipop
.	SENT	.
I	PP	i
get	VVP	get
lollipop	NN	lollipop
for	IN	for
you	PP	you
.	SENT	.
get	VV	get
lollipop	NN	lollipop
.	SENT	.
I	PP	i
broke	VVD	break
the	DT	the
lollipop	NN	lollipop
.	SENT	.
I	PP	i
broke	VVD	break
the	DT	the
lollipop	NN	lollipop
.	SENT	.
look	VV	look
at	IN	at
the	DT	the
lollipop	NN	lollipop
.	SENT	.
look	VV	look
at	IN	at
lollipop	NN	lollipop
.	SENT	.
look	VV	look
at	IN	at
.	SENT	.
numnum	NN	numnum
.	SENT	.
numnum	NN	numnum
.	SENT	.
I	PP	i
'm	VBP	be
licking	VVG	lick
the	DT	the
I	PP	i
get	VVP	get
lollipop	NN	lollipop
for	IN	for
you	PP	you
.	SENT	.
I	PP	i
get	VVP	get
lollipop	NN	lollipop
for	IN	for
you	PP	you
.	SENT	.
I	PP	i
get	VVP	get
lollipop	NN	lollipop
for	IN	for
you	PP	you
.	SENT	.
it	PP	it
happen	VVP	happen
the	DT	the
page	NN	page
.	SENT	.
what	WP	what
happen	VVP	happen
the	DT	the
page	NN	page
?	SENT	?
what	WP	what
happen	VVP	happen
the	DT	the
page	NN	page
?	SENT	?
I	PP	i
got	VVD	get
lollipop	NN	lollipop
for	IN	for
you	PP	you
.	SENT	.
yeah	UH	yeah
.	SENT	.
change	NN	change
me	PP	me
again	RB	again
.	SENT	.
yeah	UH	yeah
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
wet	JJ	wet
.	SENT	.
could	MD	could
I	PP	i
sit	VV	sit
down	RB	down
in	IN	in
chair	NN	chair
?	SENT	?
and	CC	and
read	VV	read
the	DT	the
catalogue	NN	catalogue
?	SENT	?
this	DT	this
is	VBZ	be
not	RB	not
broken	VVN	break
one	CD	one
.	SENT	.
this	DT	this
not	RB	not
broken	VVN	break
.	SENT	.
this	DT	this
not	RB	not
broken	VVN	break
.	SENT	.
this	DT	this
not	RB	not
broken	VVN	break
.	SENT	.
there	EX	there
the	DT	the
boy	NN	boy
.	SENT	.
there	EX	there
the	DT	the
boy	NN	boy
.	SENT	.
see	VV	see
the	DT	the
boy	NN	boy
.	SENT	.
changing	VVG	change
awful	JJ	awful
lot	NN	lot
?	SENT	?
I	PP	i
got	VVD	get
lollipop	NN	lollipop
for	IN	for
you	PP	you
.	SENT	.
I	PP	i
see	VVP	see
it	PP	it
broken	VVN	break
.	SENT	.
I	PP	i
can	MD	can
n't	RB	not
see	VV	see
.	SENT	.
I	PP	i
can	MD	can
n't	RB	not
see	VV	see
.	SENT	.
what	WP	what
happen	VVP	happen
that	DT	that
tea	NN	tea
?	SENT	?
I	PP	i
can	MD	can
not	RB	not
see	VV	see
.	SENT	.
I	PP	i
can	MD	can
not	RB	not
see	VV	see
.	SENT	.
yep	NN	yep
.	SENT	.
I	PP	i
wanna	VVP	wanna
do	VVP	do
it	PP	it
.	SENT	.
I	PP	i
wanna	VVP	wanna
do	VVP	do
it	PP	it
.	SENT	.
I	PP	i
wanna	VVP	wanna
do	VVP	do
it	PP	it
.	SENT	.
made	VVD	make
the	DT	the
children	NNS	child
laugh	VVP	laugh
and	CC	and
play	VV	play
.	SENT	.
laugh	NN	laugh
and	CC	and
play	VV	play
.	SENT	.
I	PP	i
finished	VVD	finish
.	SENT	.
I	PP	i
like	VVP	like
my	PP$	my
kangaroo	NN	kangaroo
.	SENT	.
I	PP	i
finished	VVD	finish
again	RB	again
.	SENT	.
yep	NN	yep
.	SENT	.
I	PP	i
want	VVP	want
a	DT	a
popsicle	NN	popsicle
.	SENT	.
I	PP	i
want	VVP	want
a	DT	a
popsicle	NN	popsicle
.	SENT	.
what	WP	what
are	VBP	be
we	PP	we
having	VHG	have
?	SENT	?
I	PP	i
want	VVP	want
to	TO	to
cook	VV	cook
my	PP$	my
chicken	NN	chicken
.	SENT	.
I	PP	i
played	VVD	play
toys	NNS	toy
with	IN	with
Kimberly	RB	kimberly
.	SENT	.
I	PP	i
put	VVP	put
the	DT	the
toys	NNS	toy
away	RB	away
.	SENT	.
was	VBD	be
messy	JJ	messy
.	SENT	.
yep	NN	yep
.	SENT	.
in	IN	in
Kimberly	RB	kimberly
's	POS	's
room	NN	room
.	SENT	.
yeah	UH	yeah
.	SENT	.
I	PP	i
play	VVP	play
with	IN	with
dolls	NNS	doll
.	SENT	.
yep	NN	yep
.	SENT	.
and	CC	and
telephone	NN	telephone
.	SENT	.
and	CC	and
.	SENT	.
what	WP	what
else	RB	else
?	SENT	?
stores	NNS	store
.	SENT	.
the	DT	the
store	NN	store
.	SENT	.
I	PP	i
do	VVP	do
n't	RB	not
like	IN	like
that	DT	that
store	NN	store
.	SENT	.
that	DT	that
store	NN	store
there	RB	there
.	SENT	.
that	IN	that
one	CD	one
.	SENT	.
yep	NN	yep
.	SENT	.
my	PP$	my
feets	NNS	<unknown>
cold	JJ	cold
?	SENT	?
no	DT	no
.	SENT	.
tipping	VVG	tip
over	IN	over
.	SENT	.
no	DT	no
.	SENT	.
why	WRB	why
?	SENT	?
put	VV	put
your	PP$	your
shoes	NNS	shoe
on	IN	on
.	SENT	.
it	PP	it
's	VVZ	's
not	RB	not
broken	VVN	break
!	SENT	!
hurting	VVG	hurt
.	SENT	.
I	PP	i
'm	VBP	be
waving	VVG	wave
make	VV	make
.	SENT	.
I	PP	i
'm	VBP	be
waving	VVG	wave
make	VV	make
.	SENT	.
where	WRB	where
boat	NN	boat
?	SENT	?
where	WRB	where
?	SENT	?
hi	VV	hi
blue	JJ	blue
boat	NN	boat
.	SENT	.
hi	VV	hi
broken	VVN	break
boat	NN	boat
.	SENT	.
me	PP	me
love	VVP	love
boat	NN	boat
.	SENT	.
I	PP	i
love	VVP	love
.	SENT	.
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
's	VVZ	's
that	IN	that
?	SENT	?
what	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
what	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
little	JJ	little
.	SENT	.
little	JJ	little
.	SENT	.
I	PP	i
splashing	VVG	splash
.	SENT	.
her	PP$	her
had	VHD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
in	IN	in
there	RB	there
.	SENT	.
Mary	NP	mary
had	VHD	have
a	DT	a
little	JJ	little
lamb	NN	lamb
in	IN	in
there	RB	there
.	SENT	.
happy	JJ	happy
birth	NN	birth
.	SENT	.
birth	NN	birth
.	SENT	.
my	PP$	my
dad	NN	dad
.	SENT	.
I	PP	i
wanna	VVP	wanna
get	VV	get
out	IN	out
.	SENT	.
uhhuh	NN	uhhuh
.	SENT	.
I	PP	i
have	VHP	have
a	DT	a
wash	NN	wash
first	JJ	first
.	SENT	.
no	DT	no
.	SENT	.
I	PP	i
wanna	VVP	wanna
play	VV	play
.	SENT	.
yeah	UH	yeah
.	SENT	.
I	PP	i
do	VVP	do
n't	RB	not
like	IN	like
you	PP	you
washing	VVG	wash
me	PP	me
.	SENT	.
no	DT	no
.	SENT	.
no	DT	no
.	SENT	.
yeah	UH	yeah
.	SENT	.
the	DT	the
arm	NN	arm
